1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
2.png	beaming face with smiling eyes	😁️	\U0001F601\U0000FE0F	U+1F601	beaming face with smiling eyes
3.png	face with tears of joy	😂️	\U0001F602\U0000FE0F	U+1F602	face with tears of joy
4.png	rolling on the floor laughing	🤣️	\U0001F923\U0000FE0F	U+1F923	rolling on the floor laughing
5.png	grinning face with big eyes	😃️	\U0001F603\U0000FE0F	U+1F603	grinning face with big eyes
6.png	grinning face with smiling eyes	😄️	\U0001F604\U0000FE0F	U+1F604	grinning face with smiling eyes
7.png	grinning face with sweat	😅️	\U0001F605\U0000FE0F	U+1F605	grinning face with sweat
8.png	grinning squinting face	😆️	\U0001F606\U0000FE0F	U+1F606	grinning squinting face
9.png	winking face	😉️	\U0001F609\U0000FE0F	U+1F609	winking face
10.png	smiling face with smiling eyes	😊️	\U0001F60A\U0000FE0F	U+1F60A	smiling face with smiling eyes
11.png	face savoring food	😋️	\U0001F60B\U0000FE0F	U+1F60B	face savoring food
12.png	smiling face with sunglasses	😎️	\U0001F60E\U0000FE0F	U+1F60E	smiling face with sunglasses
13.png	smiling face with heart-eyes	😍️	\U0001F60D\U0000FE0F	U+1F60D	smiling face with heart-eyes
14.png	face blowing a kiss	😘️	\U0001F618\U0000FE0F	U+1F618	face blowing a kiss
15.png	⊛ smiling face with 3 hearts	🥰️	\U0001F970\U0000FE0F	U+1F970	⊛ smiling face with 3 hearts
16.png	kissing face	😗️	\U0001F617\U0000FE0F	U+1F617	kissing face
17.png	kissing face with smiling eyes	😙️	\U0001F619\U0000FE0F	U+1F619	kissing face with smiling eyes
18.png	kissing face with closed eyes	😚️	\U0001F61A\U0000FE0F	U+1F61A	kissing face with closed eyes
19.png	smiling face	☺️	\U0000263A\U0000FE0F	U+263A	smiling face
20.png	slightly smiling face	🙂️	\U0001F642\U0000FE0F	U+1F642	slightly smiling face
21.png	hugging face	🤗️	\U0001F917\U0000FE0F	U+1F917	hugging face
22.png	star-struck	🤩️	\U0001F929\U0000FE0F	U+1F929	star-struck
23.png	thinking face	🤔️	\U0001F914\U0000FE0F	U+1F914	thinking face
24.png	face with raised eyebrow	🤨️	\U0001F928\U0000FE0F	U+1F928	face with raised eyebrow
25.png	neutral face	😐️	\U0001F610\U0000FE0F	U+1F610	neutral face
26.png	expressionless face	😑️	\U0001F611\U0000FE0F	U+1F611	expressionless face
27.png	face without mouth	😶️	\U0001F636\U0000FE0F	U+1F636	face without mouth
28.png	face with rolling eyes	🙄️	\U0001F644\U0000FE0F	U+1F644	face with rolling eyes
29.png	smirking face	😏️	\U0001F60F\U0000FE0F	U+1F60F	smirking face
30.png	persevering face	😣️	\U0001F623\U0000FE0F	U+1F623	persevering face
31.png	sad but relieved face	😥️	\U0001F625\U0000FE0F	U+1F625	sad but relieved face
32.png	face with open mouth	😮️	\U0001F62E\U0000FE0F	U+1F62E	face with open mouth
33.png	zipper-mouth face	🤐️	\U0001F910\U0000FE0F	U+1F910	zipper-mouth face
34.png	hushed face	😯️	\U0001F62F\U0000FE0F	U+1F62F	hushed face
35.png	sleepy face	😪️	\U0001F62A\U0000FE0F	U+1F62A	sleepy face
36.png	tired face	😫️	\U0001F62B\U0000FE0F	U+1F62B	tired face
37.png	sleeping face	😴️	\U0001F634\U0000FE0F	U+1F634	sleeping face
38.png	relieved face	😌️	\U0001F60C\U0000FE0F	U+1F60C	relieved face
39.png	face with tongue	😛️	\U0001F61B\U0000FE0F	U+1F61B	face with tongue
40.png	winking face with tongue	😜️	\U0001F61C\U0000FE0F	U+1F61C	winking face with tongue
41.png	squinting face with tongue	😝️	\U0001F61D\U0000FE0F	U+1F61D	squinting face with tongue
42.png	drooling face	🤤️	\U0001F924\U0000FE0F	U+1F924	drooling face
43.png	unamused face	😒️	\U0001F612\U0000FE0F	U+1F612	unamused face
44.png	downcast face with sweat	😓️	\U0001F613\U0000FE0F	U+1F613	downcast face with sweat
45.png	pensive face	😔️	\U0001F614\U0000FE0F	U+1F614	pensive face
46.png	confused face	😕️	\U0001F615\U0000FE0F	U+1F615	confused face
47.png	upside-down face	🙃️	\U0001F643\U0000FE0F	U+1F643	upside-down face
48.png	money-mouth face	🤑️	\U0001F911\U0000FE0F	U+1F911	money-mouth face
49.png	astonished face	😲️	\U0001F632\U0000FE0F	U+1F632	astonished face
50.png	frowning face	☹️	\U00002639\U0000FE0F	U+2639	frowning face
51.png	slightly frowning face	🙁️	\U0001F641\U0000FE0F	U+1F641	slightly frowning face
52.png	confounded face	😖️	\U0001F616\U0000FE0F	U+1F616	confounded face
53.png	disappointed face	😞️	\U0001F61E\U0000FE0F	U+1F61E	disappointed face
54.png	worried face	😟️	\U0001F61F\U0000FE0F	U+1F61F	worried face
55.png	face with steam from nose	😤️	\U0001F624\U0000FE0F	U+1F624	face with steam from nose
56.png	crying face	😢️	\U0001F622\U0000FE0F	U+1F622	crying face
57.png	loudly crying face	😭️	\U0001F62D\U0000FE0F	U+1F62D	loudly crying face
